n_points,raw_ratio
1,0.9999987712562077
2,0.7086502269682577
3,0.5771699126073768
4,0.49917933634243566
5,0.44476616825948867
6,0.4044368720386728
7,0.3734716086797274
8,0.3478735912924617
9,0.32709404559170924
10,0.3097848766430372
11,0.2938636043696074
12,0.2809952198065775
13,0.2693249185027467
14,0.25845004039537817
15,0.24972204413230106
16,0.24078430097789205
17,0.2328190819851124
18,0.22595659903594326
19,0.22006062361299414
20,0.21381434133471217
21,0.20815890544166818
22,0.20284210558854734
23,0.1983640684771598
24,0.1933462503113503
25,0.18891851602930662
26,0.184727837260424
27,0.18074849706666604
28,0.17756451960361022
29,0.17418287979254954
30,0.17140185309284428
31,0.1682814058289641
32,0.16516328279771342
33,0.16259922015254916
34,0.1601869762941392
35,0.1572839609675517
36,0.1549980165432556
37,0.1524162729784868
38,0.15018278971161406
39,0.1477587557151106
40,0.1458444492755816
41,0.1439820138751168
42,0.14207100971603331
43,0.14013297465837832
44,0.13868927840070902
45,0.13691874183527988
46,0.13523632789639028
47,0.13361969471625545
48,0.13194968230704374
49,0.13055668216876365
